"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"","","R131","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R132","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","U101","DFR0555","mcu_centrifuge_library:DFR0555","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","https://www.digikey.no/no/products/detail/trinamic-motion-control-gmbh/CABLE-PH04/9381900","","","",""
"","","U102","LCD16x2L","mcu_centrifuge_library:LCD16x2L","centrifuge_mcu:DFR0555","","","","","",""
"","","U103","TPS54294",":TPS54294_1","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"","","U104","TPS54294",":TPS54294_2","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"","","U105","TPS54294","mcu_centrifuge_library:TPS54294","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"","","U106","EFM32GG990F1024",":EFM32GG990F1024_2","centrifuge_mcu:BGA-112_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD","","","","","",""
"","","U107","4x4_keyboard","mcu_centrifuge_library:4x4_keyboard","centrifuge_mcu:Adafruit 3844","https://no.mouser.com/ProductDetail/Adafruit/3844?qs=qSfuJ%252Bfl%2Fd6WS5%252BJGim1hw%3D%3D","","","","",""
"","","Y101","VXM7-1366-48M0000000","Device:Crystal_GND24","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm_HandSoldering","~","https://www.digikey.no/no/products/detail/microchip-technology/VXM7-1366-48M0000000/13175116?s=N4IgTCBcDaIGoA0CyB2AtARgMwDYdoBYAOJABnItJAF0BfIA","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"1","12","C101, C102, C103, C104, C105, C106, C129, C130, C131, C132, C133, C134","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"2","1","C107","100u","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","https://www.digikey.no/no/products/detail/panasonic-electronic-components/EEU-FC1H101/266332","","","",""
"3","6","C108, C109, C110, C123, C124, C125","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/murata-electronics/GRT31CC81E106KE01L/5416837","","","",""
"4","12","C111, C112, C113, C114, C115, C116, C120, C121, C122, C126, C127, C128","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"5","4","C117, C118, C119, C139","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/kemet/C0805C105J4REC7800/8643700","","","",""
"6","11","C135, C136, C137, C140, C141, C143, C145, C146, C147, C148, C150","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"7","2","C138, C149","10u","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_4x5.4","~","https://www.digikey.no/no/products/detail/nichicon/UWT1C100MCL1GB/589914","","","",""
"8","2","C142, C144","12p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/vishay-vitramon/VJ0805A120FXJCW1BC/8307136","","","",""
"9","1","D101","LED_YELLOW_2V_20mA","Device:LED","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/sunled/XZMYK54W-8/8259039","","","",""
"10","1","J101","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","",""
"11","1","J102","FPGA_Power","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","",""
"12","1","J103","FPGA_extra","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"13","1","J104","FPGA_control","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
